TimePeriod,GeoType,Geography,Bicycle_Numbers,Bicycle_Percent,Car_truck_van_Numbers,Car_truck_van_Percent,Public_transportation_Numbers,Public_transportation_Percent,Walked_Numbers,Walked_Percent
2017-21,UHF42,Kingsbridge - Riverdale,117,0.3,13210,32.4,19332,47.4,2955,7.2
2017-21,UHF42,Northeast Bronx,212,0.2,39660,43.5,40556,44.5,4464,4.9
2017-21,UHF42,Fordham - Bronx Pk,637,0.6,21636,20.1,68029,63.1,9080,8.4
2017-21,UHF42,Pelham - Throgs Neck,577,0.5,48048,37.8,61334,48.3,7450,5.9
2017-21,UHF42,Crotona -Tremont,324,0.4,17885,21.8,52121,63.5,4953,6
2017-21,UHF42,High Bridge - Morrisania,393,0.5,14309,17.6,53415,65.7,8008,9.8
2017-21,UHF42,Hunts Point - Mott Haven,329,0.6,10234,19.6,32027,61.3,5346,10.2
2017-21,UHF42,Greenpoint,2618,4.3,7150,11.8,32126,53,6705,11.1
2017-21,UHF42,Downtown - Heights - Slope,5039,3.4,13480,9.1,78141,52.8,16636,11.2
2017-21,UHF42,Bedford Stuyvesant - Crown Heights,4300,2.6,24712,15,101290,61.6,9851,6
2017-21,UHF42,East New York,514,0.6,20775,25.8,49591,61.5,2953,3.7
2017-21,UHF42,Sunset Park,1282,2.4,11345,20.9,28425,52.4,7424,13.7
2017-21,UHF42,Borough Park,2121,1.6,36945,27.6,58952,44,19937,14.9
2017-21,UHF42,East Flatbush - Flatbush,1748,1.2,31817,21.7,89710,61.1,7259,4.9
2017-21,UHF42,Canarsie - Flatlands,304,0.3,40027,42.4,44767,47.4,2998,3.2
2017-21,UHF42,Bensonhurst - Bay Ridge,1089,1.1,27925,29.1,47723,49.7,7414,7.7
2017-21,UHF42,Coney Island - Sheepshead Bay,980,0.8,40604,33.2,56200,46,11199,9.2
2017-21,UHF42,Williamsburg - Bushwick,3282,3,17204,15.5,66689,60.1,9125,8.2
2017-21,UHF42,Washington Heights,1080,0.8,14398,10.7,86541,64.3,13542,10.1
2017-21,UHF42,Central Harlem - Morningside Heights,1352,1.6,7779,9.3,51887,62,9330,11.1
2017-21,UHF42,East Harlem,875,2,3606,8.1,30048,67.5,4618,10.4
2017-21,UHF42,Upper West Side,3895,3.2,8536,7,62148,50.7,16009,13.1
2017-21,UHF42,Upper East Side,1472,1.2,10222,8.3,60002,48.8,23569,19.2
2017-21,UHF42,Chelsea - Clinton,3028,3,5345,5.3,43685,43,26959,26.5
2017-21,UHF42,Gramercy Park - Murray Hill,1728,2,5890,6.8,27994,32.1,30524,35
2017-21,UHF42,Greenwich Village - SoHo,1897,3.8,2941,5.9,22120,44.4,10257,20.6
2017-21,UHF42,Union Square - Lower East Side,4950,5.1,6339,6.6,44995,46.6,22104,22.9
2017-21,UHF42,Lower Manhattan,429,1.1,1901,4.9,18600,47.6,9922,25.4
2017-21,UHF42,Long Island City - Astoria,1901,1.6,17957,15.3,72309,61.8,6391,5.5
2017-21,UHF42,West Queens,2095,0.9,56029,25,131456,58.8,17834,8
2017-21,UHF42,Flushing - Clearview,493,0.4,55294,48.2,38394,33.5,11755,10.3
2017-21,UHF42,Bayside - Little Neck,70,0.2,26762,58.9,12308,27.1,1647,3.6
2017-21,UHF42,Ridgewood - Forest Hills,1121,0.8,42691,31.4,68087,50,7748,5.7
2017-21,UHF42,Fresh Meadows,77,0.2,21987,48.7,15705,34.8,2541,5.6
2017-21,UHF42,Southwest Queens,395,0.3,61307,44.8,58887,43,5926,4.3
2017-21,UHF42,Jamaica,315,0.2,65816,44.2,65492,44,6064,4.1
2017-21,UHF42,Southeast Queens,295,0.2,102601,64.2,41082,25.7,3080,1.9
2017-21,UHF42,Rockaways,416,0.8,27230,52,17234,32.9,2955,5.6
2017-21,UHF42,Port Richmond,26,0.1,18396,59.3,9028,29.1,1332,4.3
2017-21,UHF42,Stapleton - St. George,280,0.5,28865,52,19575,35.2,2612,4.7
2017-21,UHF42,Willowbrook,27,0.1,28163,68,9041,21.8,786,1.9
2017-21,UHF42,South Beach - Tottenville,75,0.1,62918,68.7,19865,21.7,1293,1.4
2017-21,Borough,Bronx,2589,0.4,164218,28.4,324274,56.1,41772,7.2
2017-21,Borough,Brooklyn,24134,2,274494,22.3,663716,53.8,104403,8.5
2017-21,Borough,Manhattan,20706,2.3,67721,7.6,450560,50.8,167318,18.9
2017-21,Borough,Queens,7082,0.6,437872,38.9,511929,45.5,64864,5.8
2017-21,Borough,Staten Island,408,0.2,138342,63,57509,26.2,6023,2.7
2017-21,Citywide,New York City,54919,1.4,1082647,26.8,2007988,49.7,384380,9.5